listing_id,date
295240,2012-02-11
295240,2012-02-23
295240,2012-03-11
295240,2012-03-19
295240,2012-04-14
295240,2012-04-28
295240,2012-07-19
295240,2012-10-30
295240,2012-11-14
295240,2013-11-09
295240,2014-01-17
295240,2014-02-08
295240,2014-03-04
295240,2014-03-21
295240,2014-03-31
295240,2014-09-17
295240,2014-10-25
295240,2015-01-09
295240,2015-01-18
295240,2015-01-31
295240,2015-02-08
295240,2015-02-25
295240,2015-04-01
4882829,2015-04-22
1278848,2013-07-18
1278848,2013-08-24
1278848,2013-09-13
1278848,2013-09-27
1278848,2013-10-07
1278848,2014-05-21
1278848,2014-07-08
1278848,2014-07-29
1278848,2014-09-01
1278848,2014-12-08
1278848,2015-02-15
5068275,2015-02-07
5068275,2015-03-01
5068275,2015-03-07
5068275,2015-03-09
5068275,2015-03-29
2315086,2014-03-06
2315086,2014-03-18
2315086,2014-03-22
2315086,2014-03-30
2315086,2014-04-07
2315086,2014-04-14
2315086,2014-04-23
2315086,2014-05-01
2315086,2014-05-05
2315086,2014-05-08
2315086,2014-05-18
2315086,2014-05-23
2315086,2014-06-14
2315086,2014-06-26
2315086,2014-07-29
2315086,2014-08-01
2315086,2014-08-06
2315086,2014-08-10
2315086,2014-08-19
2315086,2014-08-22
2315086,2014-09-09
2315086,2014-09-15
2315086,2014-09-22
2315086,2014-09-27
2315086,2014-10-07
2315086,2014-10-13
2315086,2014-10-21
2315086,2014-10-30
2315086,2014-11-05
2315086,2014-11-08
2315086,2014-11-15
2315086,2014-11-29
2315086,2014-12-06
2315086,2014-12-09
2315086,2014-12-21
2315086,2014-12-31
2315086,2015-01-05
2315086,2015-01-10
2315086,2015-01-14
2315086,2015-01-17
2315086,2015-01-20
2315086,2015-01-28
2315086,2015-02-07
2315086,2015-02-13
2315086,2015-02-17
2315086,2015-03-03
2315086,2015-03-09
2315086,2015-03-13
2315086,2015-03-18
2315086,2015-03-30
2315086,2015-04-04
2315086,2015-04-14
2315086,2015-04-20
2315086,2015-04-23
2315086,2015-04-26
4258257,2014-10-11
4258257,2014-10-14
4258257,2014-10-21
4258257,2014-10-24
4258257,2014-10-28
4258257,2014-10-31
4258257,2014-11-09
4258257,2014-11-10
4258257,2014-12-20
4258257,2015-01-15
4258257,2015-03-07
4258257,2015-03-26
4258257,2015-04-17
4258257,2015-04-24
4045632,2014-09-06
4045632,2014-09-17
4045632,2014-09-22
4045632,2014-09-30
4045632,2014-10-02
4045632,2014-10-08
4045632,2014-10-13
4045632,2014-10-18
4045632,2014-10-21
4045632,2014-10-25
4045632,2014-10-28
4045632,2014-11-01
4045632,2014-11-14
4045632,2014-11-16
4045632,2014-11-19
4045632,2014-12-05
4045632,2014-12-06
4045632,2014-12-13
4045632,2015-01-02
4045632,2015-01-04
4045632,2015-01-28
4045632,2015-02-01
4045632,2015-02-07
4045632,2015-02-11
4045632,2015-02-15
4045632,2015-02-21
4045632,2015-02-27
4045632,2015-03-03
4045632,2015-03-08
4045632,2015-03-16
4045632,2015-03-18
4045632,2015-03-19
4045632,2015-03-27
4045632,2015-04-01
4045632,2015-04-06
4045632,2015-04-09
4045632,2015-04-12
4045632,2015-04-16
4045632,2015-04-17
4045632,2015-04-20
4045632,2015-04-24
4045632,2015-04-27
472065,2012-07-21
472065,2012-09-22
472065,2012-11-07
472065,2013-01-23
472065,2013-02-27
472065,2013-03-31
472065,2013-04-15
472065,2013-06-26
472065,2013-11-27
472065,2014-02-15
472065,2014-02-20
472065,2014-03-01
472065,2014-03-08
472065,2014-03-14
472065,2014-03-18
472065,2014-03-23
472065,2014-04-03
472065,2014-04-07
472065,2014-04-12
472065,2014-04-15
472065,2014-04-21
472065,2014-04-26
472065,2014-05-12
472065,2014-05-27
472065,2014-06-18
472065,2014-06-22
472065,2014-06-29
472065,2014-07-04
472065,2014-07-11
472065,2014-07-28
472065,2014-07-31
472065,2014-08-04
472065,2014-08-07
472065,2014-08-12
472065,2014-08-17
472065,2014-09-11
472065,2014-09-29
472065,2014-10-13
472065,2014-10-23
472065,2014-11-01
472065,2014-11-05
472065,2014-11-21
472065,2014-12-04
472065,2015-01-06
472065,2015-02-14
472065,2015-02-20
472065,2015-02-25
472065,2015-03-16
472065,2015-03-24
472065,2015-03-29
472065,2015-04-03
472065,2015-04-26
325478,2012-02-26
325478,2012-03-13
325478,2012-03-27
325478,2012-04-16
325478,2012-05-01
325478,2012-05-14
